descmaq,colaborador,numapont,data,maq, qtdprodconfirmada ,numdaop,codproduto,descricaodeproduto,nomedocliente,coddepto,descdepto,codcliente,horainical,horatermino
NEW LONG 24,,4286910,2026-04-07,165024,41827,1181685/0020,13020815-0001,SACL PAP AUT FSC® M INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,14:00:00,22:00:00
CASE MAKER,,4286911,2026-04-07,173006,787,1180447/0010,2100080885,CAPA RIG EVIDENCIAS MDF LEO MAD,ANTILHAS INDUSTRIA,02,OFFSET,1,14:00:00,22:00:00
MK HEIDELBERG PROMATRIX 3 ,,4286912,2026-04-07,155013,8248,1181557/0050,2100081369,SACL PAP MAN FSC®G INST26 BROOKS PT2,BROOKSFIELD,02,OFFSET,1,14:00:00,16:12:29
MÁQUINA ALÇA FLET 2,,4286914,2026-04-07,163002,136043,1180881/0030,2400004111,ALCA CHATA FSCM - C04 - VERDE - P343C, ,01,FLEXOGRAFICA,1,14:00:00,22:00:00
ROLAND 704,,4286916,2026-04-07,152006,4802,1182455/0040,2100081625,SACL PAP MAN FSC®M MET MAES26 SCHUTZ,SCHUTZ,02,OFFSET,1,14:00:00,16:59:06
NEW LONG 13 M - WEBER,,4286920,2026-04-07,165013,32476,1181907/0020,13020905-0001,SACL PAP AUT FSC® M INST24 HAVAIANAS,HAVAIANAS,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 11 - P,,4286923,2026-04-07,165011,25769,1181869/0030,13012300-0001,SACL PAP AUT FSC® P INST LINDT,LINDT,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 14 - P,,4286924,2026-04-07,165014,31948,1179937/0020,2100073692,SACL AUT FSC® MINI BAS,NATURA,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 5,,4286925,2026-04-07,165005,24091,1181892/0020,13019832-0001,SACL PAP AUT FSC® P SP INST22 KOP,,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 4,,4286926,2026-04-07,165004,34984,1182343/0040,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
COLADEIRA EASYGLUER SIMPLES,,4286927,2026-04-07,156004,43753,1178452/0050,2100061622,SACL PAP SAUT FSC® P LIFE VIVARA,VIVARA,02,OFFSET,1,14:00:03,22:00:00
CORTADEIRA FURNAX,,4286928,2026-04-07,150001,55145,1180135/0020,13019721-0001,SACL PAP AUT NLN FSC® M INST22 T&F,TRACK & FIELD,02,OFFSET,1,14:00:00,21:04:32
ROLAND 702,,4286930,2026-04-07,152005,7888,1182604/0010,2100082044,REF FD SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,14:00:00,22:00:00
HEIDELBERG XL 106,,4286931,2026-04-07,152007,669,1182258/0020,2100081630,CX TPA FSC®M MAES26 NATURA,NATURA VAREJO,02,OFFSET,1,14:00:00,15:24:14
SILK SCREEN,,4286932,2026-04-07,153001,6650,1181001/0030,11044480-0001,CTCHO FSC® P INST22 T&F,TRACK & FIELD,02,OFFSET,1,14:00:00,16:59:16
MK HEIDELBERG PROMATRIX 2,,4286937,2026-04-07,155012,8000,1182098/0040,11045614-0001,LAMINA OLF FSC® PDV GR INST22 BOT,BOTICARIO,02,OFFSET,1,14:00:00,15:35:24
COLADEIRA SACOLA PREMIUM,,4286943,2026-04-07,156101,3933,1181575/0060,11054561-0001,SACL PAP AUT FSC®M INST26 BROOKSFIELD,BROOKSFIELD,02,OFFSET,1,14:00:00,22:00:00
REINAFLEX,,4286946,2026-04-07,160011,8246,1180993/0010,13020817-0001,SACL PAP AUT FSC® G INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,14:00:00,22:00:00
LAMINADORA ZFM1080S,,4286947,2026-04-07,161007,5017,1182547/0020,2100082113,CX LUV FSC®M STATUS V2 PRES26 MAHOGANY,MAHOGANY,01,FLEXOGRAFICA,1,14:00:00,15:56:52
REBOBINADEIRA 1,,4286948,2026-04-07,162001,33856,1182472/0020,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,14:00:00,22:00:00
REBOBINADEIRA 6,,4286949,2026-04-07,162006,3830,1180680/0010,13021468-0001,SACL PAP AUT FSC®M LIQUIDA ANACAPRI,ANACAPRI,01,FLEXOGRAFICA,1,14:00:00,14:01:49
MÁQUINA ALÇA FLET 3,,4286950,2026-04-07,163003,113027,1182472/0030,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,14:00:00,22:00:00
TORCEDEIRA 4,,4286953,2026-04-07,163023,102825,1182472/0031,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 7,,4286956,2026-04-07,165007,1445,1182186/0030,13020200-0001,SACL PAP AUT FSC® M INST23 T&F,TRACK & FIELD COFFEE,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 10 INDUSTRIAL,,4286958,2026-04-07,165010,12070,1182016/0020,13019479-0002,SACL PAP AUT FSC® M V2 INST22 RENNER,RENNER,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 12 - G,,4286959,2026-04-07,165012,16677,1180669/0020,13019659-0002,SACL PAP AUT G PARDA V2 VD BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG FOLHA,,4286963,2026-04-07,165019,21241,1182354/0040,13021581-0001,SACL PAP AUT NLF FSC®M INST24 V2 MORANA,MORANA,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 20,,4286964,2026-04-07,165020,16888,1180708/0050,13019948-0004,SACL PAP AUT NLF FSC®P INST26 CASA GRA,CASA GRANADO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 21,,4286965,2026-04-07,165021,6400,1182041/0050,13021508-0001,SACL PAP AUT NLF M INST26 KOP,,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 23,,4286967,2026-04-07,165023,145,1182190/0020,13014580-0001,SACL PAP AUT FSC® PP INST LE POSTI,LE POSTICHE,01,FLEXOGRAFICA,1,14:00:00,17:26:52
HOT BOBINA 03,,4286981,2026-04-07,175003,33632,1182647/0026,13021731-0001,96584 SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,14:00:00,22:00:00
GUILHOTINA 1,,4286985,2026-04-07,151001,33942,1182354/0030,13021581-0001,SACL PAP AUT NLF FSC®M INST24 V2 MORANA,MORANA,02,OFFSET,1,14:00:00,22:00:00
GUILHOTINA HERCULES,,4286988,2026-04-07,151004,12600,1182356/0010,11054721-0001,438916.00 CX TPA MALBEC NAT26 BOT,BOTICARIO INDUSTRIA,02,OFFSET,1,14:00:00,14:55:37
GUILHOTINA POLAR 150,,4286997,2026-04-07,151006,256800,1182604/0020,2100082044,REF FD SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,14:00:00,22:00:00
REBOBINADEIRA 6,,4287035,2026-04-07,162006,37878,1183033/0005,13019431-0003,SACL PAP AUT FSC® G INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,14:03:41,22:00:00
CORTADEIRA SEMIGO,,4287044,2026-04-07,150003,7391,1181058/0010,13014818-0001,CTCHO FDO C/ ALCA FSC® PP AU BRESIL LOCC,LOCCITANE,02,OFFSET,1,14:15:27,15:33:23
HOT BOBINA 02,,4287053,2026-04-07,175002,12818,1182647/0025,13021731-0001,96584 SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,14:30:26,16:55:37
C/V AUTO VARIMATRIX 3,,4287072,2026-04-07,155007,3502,1181944/0045,2100081615,SACL PAP MAN FSC®G INST26 BROOKS JR,BROOKSFIELD JR,02,OFFSET,1,14:52:47,16:30:36
GUILHOTINA HERCULES,,4287073,2026-04-07,151004,6365,1182541/0020,2100082133,CX LUV FSC®M AFETO V2 PRES26 MAHOGANY,MAHOGANY,02,OFFSET,1,14:55:37,15:47:37
COLADEIRA DGM,,4287076,2026-04-07,156015,9277,1182648/0080,11054482-0001,CTCHO FDO AUT FSC®M MAES26 ANACAPRI,ANACAPRI,02,OFFSET,1,15:14:06,21:38:45
HEIDELBERG XL 106,,4287080,2026-04-07,152007,4032,1182378/0030,2100082108,CTCHO AUT C/ VISOR FSC®M MAES26 NATURA,NATURA VAREJO,02,OFFSET,1,15:25:12,22:00:00
GUILHOTINA - ACAB NL 03,,4287081,2026-04-07,151007,144000,1182476/0020,2100077669,90821 REF FDO FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,15:25:52,22:00:00
MK HEIDELBERG PROMATRIX 2,,4287095,2026-04-07,155012,28002,1182098/0040,11045614-0001,LAMINA OLF FSC® PDV GR INST22 BOT,BOTICARIO,02,OFFSET,1,15:35:24,22:00:00
C/V HEIDELBERG PROMATRIX 1 ,,4287096,2026-04-07,155010,22535,1181001/0040,11044480-0001,CTCHO FSC® P INST22 T&F,TRACK & FIELD,02,OFFSET,1,15:35:46,22:00:00
SACL FOLHA 3 - ZB,,4287102,2026-04-07,165103,20311,1182344/0040,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,15:42:43,22:00:00
GUILHOTINA HERCULES,,4287104,2026-04-07,151004,40185,1182356/0010,11054721-0001,438916.00 CX TPA MALBEC NAT26 BOT,BOTICARIO INDUSTRIA,02,OFFSET,1,15:49:45,22:00:00
CORTE E SOLDA 2,,4287111,2026-04-07,167102,12200,1181856/0010,11047294-0001,SACO PLT P AMARRADINHO INST23 QDB,QUEM DISSE BERENICE,01,FLEXOGRAFICA,1,16:04:45,16:56:46
MÁQUINA ALÇA FLET 1,,4287114,2026-04-07,163001,110913,1182472/0032,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,16:07:31,22:00:00
ONYX 808,,4287121,2026-04-07,160007,6370,1181872/0020,13012312-0001,SACL PAP AUT FSC® G INST LINDT,LINDT,01,FLEXOGRAFICA,1,16:16:58,18:28:04
HOT BOBINA 02,,4287133,2026-04-07,175002,18848,1182647/0025,13021731-0001,96584 SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,16:55:48,22:00:00
ROLAND 704,,4287137,2026-04-07,152006,6321,1182455/0040,2100081625,SACL PAP MAN FSC®M MET MAES26 SCHUTZ,SCHUTZ,02,OFFSET,1,16:59:17,18:51:20
GOFRADEIRA OFFSET,,4287139,2026-04-07,172001,5577,1182238/0020,2100081641,SACL PAP MAN FSC®P MAES26 NATURA,NATURA VAREJO,02,OFFSET,1,17:12:31,21:57:42
SACL FOLHA 4 - ZB,,4287145,2026-04-07,165104,23871,1182344/0041,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,18:06:44,22:00:00
CORTE E SOLDA 3,,4287148,2026-04-07,167103,20000,1178660/0010,11052654-0001,KIT SACO PLT G AMARRADINHO VD INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,18:12:46,22:00:00
ONYX 808,,4287152,2026-04-07,160007,19379,1181872/0020,13012312-0001,SACL PAP AUT FSC® G INST LINDT,LINDT,01,FLEXOGRAFICA,1,18:28:04,20:29:18
ROLAND 704,,4287161,2026-04-07,152006,106,1182579/0030,2100055776,SACL PAP MAN PP 21 CAU CHOC,CAU CHOCOL,02,OFFSET,1,18:51:39,20:44:22
SACL FOLHA 8 - ZB,,4287172,2026-04-07,165108,28746,1182344/0044,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,20:33:47,22:00:00
SACL FOLHA 1 - ZB,,4287180,2026-04-07,165101,24936,1180973/0043,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,21:05:46,22:00:00
SACL FOLHA 5 - ZB,,4287209,2026-04-07,165105,25500,1173816/0050,13021473-0001,SACL PAP AUT NLF FSC®M INST25 CASA GRA,CASA GRANADO,01,FLEXOGRAFICA,1,22:00:00,00:35:49
SACL FOLHA 6 - ZB,,4287210,2026-04-07,165106,31471,1182344/0042,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,22:58:48
SACL FOLHA 8 - ZB,,4287212,2026-04-07,165108,29893,1182344/0044,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,05:47:51
SACL FOLHA 9 - ZB,,4287213,2026-04-07,165109,23065,1181771/0040,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,23:19:48
CORTE E SOLDA 2,,4287215,2026-04-07,167102,12473,1178388/0030,11052338-0001,SACO PLT P AMARRADINHO INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,22:14:48
SACL FOLHA 1 - ZB,,4287217,2026-04-07,165101,140,1180973/0043,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,00:56:48
REBOBINADEIRA 6,,4287222,2026-04-07,162006,5406,1183033/0005,13019431-0003,SACL PAP AUT FSC® G INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,22:00:00,23:02:49
HOT BOBINA 02,,4287223,2026-04-07,175002,7787,1182647/0025,13021731-0001,96584 SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,22:00:00,23:18:35
REBOBINADEIRA 1,,4287225,2026-04-07,162001,10701,1182472/0020,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,22:00:00,23:41:06
ROLAND 702,,4287231,2026-04-07,152005,9335,1182604/0010,2100082044,REF FD SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,22:00:00,06:00:00
NEW LONG 7,,4287254,2026-04-07,165007,18500,1182186/0030,13020200-0001,SACL PAP AUT FSC® M INST23 T&F,,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 10 INDUSTRIAL,,4287256,2026-04-07,165010,22016,1182016/0020,13019479-0002,SACL PAP AUT FSC® M V2 INST22 RENNER,RENNER,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 11 - P,,4287257,2026-04-07,165011,11127,1181869/0030,13012300-0001,SACL PAP AUT FSC® P INST LINDT,LINDT,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 20,,4287263,2026-04-07,165020,12576,1180708/0050,13019948-0004,SACL PAP AUT NLF FSC®P INST26 CASA GRA,CASA GRANADO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 21,,4287264,2026-04-07,165021,6431,1182041/0050,13021508-0001,SACL PAP AUT NLF M INST26 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,22:00:00,02:52:31
NEW LONG 24,,4287267,2026-04-07,165024,38470,1181685/0020,13020815-0001,SACL PAP AUT FSC® M INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,22:00:00,06:00:00
SACOS FUNDO MATADOR 1 - HOLWEG,,4287269,2026-04-07,166006,4147,1180136/0040,13019833-0001,SACL PAP AUT PP ALCA VAZ INST22 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,22:00:00,22:39:12
GOFRADEIRA OFFSET,,4287274,2026-04-07,172001,8140,1182238/0020,2100081641,SACL PAP MAN FSC®P MAES26 NATURA,NATURA VAREJO,02,OFFSET,1,22:00:00,06:00:00
MK HEIDELBERG PROMATRIX 2,,4287300,2026-04-07,155012,3998,1182098/0040,11045614-0001,LAMINA OLF FSC® PDV GR INST22 BOT,BOTICARIO,02,OFFSET,1,22:00:00,22:20:42
C/V HEIDELBERG PROMATRIX 1 ,,4287302,2026-04-07,155010,3218,1181001/0040,11044480-0001,CTCHO FSC® P INST22 T&F,TRACK & FIELD,02,OFFSET,1,22:00:00,22:23:09
NEW LONG FOLHA,,4287303,2026-04-07,165019,20093,1182354/0040,13021581-0001,SACL PAP AUT NLF FSC®M INST24 V2 MORANA,MORANA,01,FLEXOGRAFICA,1,22:00:00,06:00:00
ROLAND 704,,4287304,2026-04-07,152006,1202,1182079/0020,2100076025,CP INT G AC INST24 KOP,KOPENHAGEN,02,OFFSET,1,22:00:00,22:17:47
NEW LONG 14 - P,,4287305,2026-04-07,165014,31369,1179937/0020,2100073692,SACL AUT FSC® MINI BAS,NATURA,01,FLEXOGRAFICA,1,22:00:00,06:00:00
HOT BOBINA 01 ,,4287306,2026-04-07,175001,22096,1182856/0020,13021731-0001,96584 SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,22:00:00,06:00:00
NEW LONG 5,,4287307,2026-04-07,165005,34847,1181892/0020,13019832-0001,SACL PAP AUT FSC® P SP INST22 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 4,,4287308,2026-04-07,165004,29779,1182343/0040,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
GUILHOTINA - ACAB NL 03,,4287324,2026-04-07,151007,180000,1182476/0020,2100077669,90821 REF FDO FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,22:00:00,06:00:00
CORTE E SOLDA 2,,4287369,2026-04-07,167102,18400,1178388/0030,11052338-0001,SACO PLT P AMARRADINHO INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:14:48,02:30:49
REINAFLEX,,4287372,2026-04-07,160011,52973,1180993/0010,13020817-0001,SACL PAP AUT FSC® G INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,22:14:25,05:11:41
ONYX 808,,4287374,2026-04-07,160007,26324,1183025/0020,13012300-0001,SACL PAP AUT FSC® P INST LINDT,LINDT,01,FLEXOGRAFICA,1,22:15:19,04:38:12
ROLAND 704,,4287379,2026-04-07,152006,736,1182079/0020,2100076025,CP INT G AC INST24 KOP,KOPENHAGEN,02,OFFSET,1,22:17:47,22:35:06
MK HEIDELBERG PROMATRIX 3 ,,4287387,2026-04-07,155013,24356,1181556/0050,2100081368,SACL PAP MAN FSC®G INST26 BROOKS PT1,BROOKSFIELD,02,OFFSET,1,22:19:59,06:00:00
SACL FOLHA 3 - ZB,,4287393,2026-04-07,165103,22592,1182344/0040,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:20:46,06:00:00
MK HEIDELBERG PROMATRIX 2,,4287395,2026-04-07,155012,5626,1182098/0040,11045614-0001,LAMINA OLF FSC® PDV GR INST22 BOT,BOTICARIO,02,OFFSET,1,22:20:42,06:00:00
GUILHOTINA HERCULES,,4287397,2026-04-07,151004,63000,1182398/0010,11054723-0001,438917.00 CX FDO FSC®MALBEC NAT26 BOT,BOTICARIO INDUSTRIA,02,OFFSET,1,22:22:13,06:00:00
NEW LONG 12 - G,,4287398,2026-04-07,165012,25201,1180669/0020,13019659-0002,SACL PAP AUT G PARDA V2 VD BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:22:32,06:00:00
C/V HEIDELBERG PROMATRIX 1 ,,4287399,2026-04-07,155010,20323,1181001/0040,11044480-0001,CTCHO FSC® P INST22 T&F,TRACK & FIELD,02,OFFSET,1,22:23:09,06:00:00
NEW LONG 23,,4287405,2026-04-07,165023,33385,1182190/0020,13014580-0001,SACL PAP AUT FSC® PP INST LE POSTI,LE POSTICHE,01,FLEXOGRAFICA,1,22:31:43,06:00:00
ROLAND 704,,4287407,2026-04-07,152006,2548,1182579/0030,2100055776,SACL PAP MAN PP 21 CAU CHOC,CAU CHOCOL,02,OFFSET,1,22:35:24,23:59:12
SACOS FUNDO MATADOR 1 - HOLWEG,,4287410,2026-04-07,166006,25467,1180136/0040,13019833-0001,SACL PAP AUT PP ALCA VAZ INST22 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,22:39:12,06:00:00
HOT BOBINA 03,,4287413,2026-04-07,175003,12913,1182647/0026,13021731-0001,96584 SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,22:48:41,01:16:30
HEIDELBERG XL 106,,4287416,2026-04-07,152007,23180,1182378/0030,2100082108,CTCHO AUT C/ VISOR FSC®M MAES26 NATURA,NATURA VAREJO,02,OFFSET,1,22:51:50,03:33:17
SACL FOLHA 6 - ZB,,4287418,2026-04-07,165106,28342,1182344/0042,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:58:48,06:00:00
SACL FOLHA 4 - ZB,,4287422,2026-04-07,165104,23000,1182344/0041,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,,01,FLEXOGRAFICA,1,23:06:47,06:00:00
SACL FOLHA 9 - ZB,,4287423,2026-04-07,165109,22563,1181771/0040,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,23:19:48,06:00:00
HOT BOBINA 02,,4287424,2026-04-07,175002,15401,1182647/0025,13021731-0001,96584 SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,23:18:35,06:00:00
REBOBINADEIRA 6,,4287429,2026-04-07,162006,26205,1182273/0005,13021510-0001,SACL PAP AUT NLF G INST26 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,23:41:27,06:00:00
REBOBINADEIRA 1,,4287430,2026-04-07,162001,36566,1182472/0020,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,23:41:38,06:00:00
CORTADEIRA SEMIGO,,4287433,2026-04-07,150003,14859,1182327/0010,13014818-0001,CTCHO FDO C/ ALCA FSC® PP AU BRESIL LOCC,LOCCITANE,02,OFFSET,1,23:54:46,03:23:03
SACL FOLHA 1 - ZB,,4287441,2026-04-07,165101,24430,1180973/0043,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:56:48,06:00:00
ROLAND 704,,4287443,2026-04-07,152006,15297,1178058/0030,2100067405,FDO CX RIG HIB M INST23 AU BRE LOCCI,,02,OFFSET,1,01:14:09,06:00:00
HOT BOBINA 03,,4287447,2026-04-07,175003,7076,1182856/0025,13021731-0001,96584 SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,01:33:35,06:00:00
SACL FOLHA 7 - ZB,,4287448,2026-04-07,165107,26617,1182344/0043,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,02:05:49,06:00:00
TORCEDEIRA 4,,4287451,2026-04-07,163023,133853,1182472/0031,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,02:24:16,06:00:00
MÁQUINA ALÇA FLET 3,,4287452,2026-04-07,163003,133607,1182472/0030,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,02:24:28,06:00:00
SACL FOLHA 2 - ZB,,4287463,2026-04-07,165102,10609,1180973/0042,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,03:31:49,06:00:00
HEIDELBERG XL 106,,4287465,2026-04-07,152007,6905,1181058/0020,13014818-0001,CTCHO FDO C/ ALCA FSC® PP AU BRESIL LOCC,LOCCITANE,02,OFFSET,1,03:33:53,05:58:54
TORCEDEIRA 11 GALAN,,4287466,2026-04-07,163011,36842,1182644/0020,2200000411,FIO P.T FSCM - A35 - PT - FLEXIVEIS, ,01,FLEXOGRAFICA,1,04:04:12,06:00:00
MÁQUINA ALÇA FLET 2,,4287471,2026-04-07,163002,107282,1180881/0030,2400004111,ALCA CHATA FSCM - C04 - VERDE - P343C, ,01,FLEXOGRAFICA,1,04:35:43,06:00:00
MÁQUINA ALÇA FLET 1,,4287473,2026-04-07,163001,131057,1182472/0032,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,04:44:49,06:00:00
SACL FOLHA 8 - ZB,,4287479,2026-04-07,165108,600,1182344/0044,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,05:47:51,06:00:00
GUILHOTINA 1,,4287482,2026-04-07,151001,34420,1182354/0030,13021581-0001,SACL PAP AUT NLF FSC®M INST24 V2 MORANA,MORANA,02,OFFSET,1,05:49:59,06:00:00
SACL FOLHA 8 - ZB,,4287499,2026-04-08,165108,75,1182344/0044,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,07:45:52
CORTE E SOLDA 3,,4287503,2026-04-08,167103,17222,1178660/0010,11052654-0001,KIT SACO PLT G AMARRADINHO VD INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,06:54:51
SACL FOLHA 5 - ZB,,4287504,2026-04-08,165105,11635,1173816/0050,13021473-0001,SACL PAP AUT NLF FSC®M INST25 CASA GRA,CASA GRANADO,01,FLEXOGRAFICA,1,06:00:00,08:17:52
SACL FOLHA 6 - ZB,,4287505,2026-04-08,165106,73,1182344/0042,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,11:51:53
GUILHOTINA 1,,4287515,2026-04-08,151001,18000,1182354/0030,13021581-0001,SACL PAP AUT NLF FSC®M INST24 V2 MORANA,MORANA,02,OFFSET,1,06:00:00,09:44:26
GUILHOTINA POLAR 150,,4287528,2026-04-08,151006,335400,1182604/0020,2100082044,REF FD SACL PAP NLF FSC®M PDVG NAM26 BOT,BOTICARIO,02,OFFSET,1,06:00:00,13:24:09
NEW LONG 24,,4287557,2026-04-08,165024,16263,1181685/0020,13020815-0001,SACL PAP AUT FSC® M INST24 DECATHLON,,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG FOLHA,,4287558,2026-04-08,165019,23000,1182354/0040,13021581-0001,SACL PAP AUT NLF FSC®M INST24 V2 MORANA,,01,FLEXOGRAFICA,1,06:00:00,14:00:00
MÁQUINA ALÇA FLET 1,,4287559,2026-04-08,163001,150965,1182472/0032,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,06:00:00,14:00:00
C/V HEIDELBERG PROMATRIX 1 ,,4287570,2026-04-08,155010,3028,1181001/0040,11044480-0001,CTCHO FSC® P INST22 T&F,TRACK & FIELD,02,OFFSET,1,06:00:00,06:41:46
NEW LONG 13 M - WEBER,,4287593,2026-04-08,165013,14600,1181907/0020,13020905-0001,SACL PAP AUT FSC® M INST24 HAVAIANAS,HAVAIANAS,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 16 P,,4287594,2026-04-08,165016,15597,1180996/0030,13021118-0001,SACL PAP AUT FSC® M INST25 SEPHORA,SEPHORA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 20,,4287597,2026-04-08,165020,6488,1180708/0050,13019948-0004,SACL PAP AUT NLF FSC®P INST26 CASA GRA,CASA GRANADO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
