descmaq,colaborador,numapont,data,maq, qtdprodconfirmada ,numdaop,codproduto,descricaodeproduto,nomedocliente,coddepto,descdepto,codcliente,horainical,horatermino
CORTADEIRA SEMIGO,,4262918,2026-03-11,150003,338,1181546/0010,2100059513,SACL PAP MAN FSC® G DENGO,DENGO,02,OFFSET,1,22:23:42,22:50:21
HEIDELBERG XL 106,,4262920,2026-03-11,152007,26011,1180094/0010,11054400-0001,50604920 SACL MAN FSC®P MAES26 NAT,ANTILHAS INDUSTRIA,02,OFFSET,1,22:24:44,06:00:00
HOT BOBINA 03,,4262924,2026-03-11,175003,22190,1181770/0020,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,BOTICARIO,02,OFFSET,1,22:27:24,06:00:00
MÁQUINA ALÇA FLET 2,,4262925,2026-03-11,163002,120004,1181074/0030,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,22:29:40,06:00:00
TORCEDEIRA 11 GALAN,,4262926,2026-03-11,163011,49383,1179830/0020,2200000021,FIO P.T FSCM - A20 - MARROM - P7589C, ,01,FLEXOGRAFICA,1,22:29:44,06:00:00
SACL FOLHA 9 - ZB,,4262933,2026-03-11,165109,13600,1181143/0031,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:48:41,04:25:43
CORTADEIRA SEMIGO,,4262936,2026-03-11,150003,6874,1181546/0010,2100059513,SACL PAP MAN FSC® G DENGO,DENGO,02,OFFSET,1,22:52:24,23:49:14
HOT-STAMPING 6,,4262937,2026-03-11,154005,15204,1180249/0040,2100077629,89402 CX TP FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,23:00:13,06:00:00
ROLAND 704,,4262941,2026-03-11,152006,6799,1180293/0030,2100073525,TAG FSC® CPV NAT,NATURA,02,OFFSET,1,23:21:51,04:00:47
REBOBINADEIRA 1,,4262944,2026-03-11,162001,19867,1181074/0020,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,23:46:50,05:04:18
CORTADEIRA SEMIGO,,4262946,2026-03-11,150003,7746,1181546/0010,2100059513,SACL PAP MAN FSC® G DENGO,DENGO,02,OFFSET,1,23:54:29,00:08:06
SACL FOLHA 3 - ZB,,4262950,2026-03-11,165103,25005,1181142/0033,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:08:54,06:00:00
CORTADEIRA SEMIGO,,4262951,2026-03-11,150003,1956,1181546/0010,2100059513,SACL PAP MAN FSC® G DENGO,DENGO,02,OFFSET,1,00:08:06,03:16:10
SACL FOLHA 7 - ZB,,4262953,2026-03-11,165107,30436,1179301/0043,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:31:41,06:00:00
SACL FOLHA 8 - ZB,,4262956,2026-03-11,165108,23885,1179301/0045,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:48:42,06:00:00
GUILHOTINA - ACAB NL 03,,4262957,2026-03-11,151007,130800,1181449/0020,2100077669,90821 REF FDO FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,00:49:19,06:00:00
SACL FOLHA 4 - ZB,,4262958,2026-03-11,165104,26089,1181142/0031,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:51:54,06:00:00
SACL FOLHA 1 - ZB,,4262959,2026-03-11,165101,12069,1181143/0030,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:54:54,02:29:55
SACL FOLHA 2 - ZB,,4262960,2026-03-11,165102,23239,1179309/0040,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,00:54:54,06:00:00
GUILHOTINA HERCULES,,4262962,2026-03-11,151004,46788,1178867/0020,2100067405,FDO CX RIG HIB M INST23 AU BRE LOCCI,LOCCITANE,02,OFFSET,1,01:32:52,05:10:02
MK HEIDELBERG PROMATRIX 2,,4262966,2026-03-11,155012,9383,1181896/0020,11054565-0001,4852801 CTCHO FSC®PROF ULTIM FRX60G ACHE,ANTILHAS INDUSTRIA,02,OFFSET,1,02:13:27,06:00:00
GUILHOTINA 2,,4262967,2026-03-11,151002,30000,1181158/0030,2400007262,REF FDO FSC® SACL PAP AUT G PARDA PCT/50,BOTICARIO,02,OFFSET,1,02:21:45,05:50:24
SACL FOLHA 1 - ZB,,4262969,2026-03-11,165101,12331,1179309/0041,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,02:30:55,06:00:00
CORTADEIRA SEMIGO,,4262980,2026-03-11,150003,10338,1181603/0010,11054560-0001,SACL PAP AUT FSC®P INST26 BROOKSFIELD,BROOKSFIELD,02,OFFSET,1,03:26:21,05:30:51
ROLAND 704,,4262984,2026-03-11,152006,6510,1181625/0020,2100074572,SACL PAP MAN FSC® M INST23 DENGO,DENGO,02,OFFSET,1,04:01:06,06:00:00
SACL FOLHA 9 - ZB,,4262986,2026-03-11,165109,5532,1179309/0043,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,04:29:43,05:57:44
REBOBINADEIRA 1,,4262993,2026-03-11,162001,10461,1181074/0020,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,05:04:18,06:00:00
REBOBINADEIRA 6,,4262994,2026-03-11,162006,36,1181766/0020,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,05:04:33,05:07:32
GUILHOTINA HERCULES,,4262997,2026-03-11,151004,10340,1181603/0020,11054560-0001,SACL PAP AUT FSC®P INST26 BROOKSFIELD,BROOKSFIELD,02,OFFSET,1,05:10:02,06:00:00
GUILHOTINA 2,,4263002,2026-03-11,151002,98114,1181468/0040,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,05:50:56,05:53:03
SACL FOLHA 9 - ZB,,4263004,2026-03-11,165109,276,1179309/0043,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,05:57:44,06:00:00
HOT-STAMPING 6,,4263005,2026-03-12,154005,3855,1180249/0040,2100077629,89402 CX TP FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:00:00,06:49:16
SACL FOLHA 2 - ZB,,4263016,2026-03-12,165102,408,1179309/0040,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,08:39:58
SACL FOLHA 5 - ZB,,4263027,2026-03-12,165105,22468,1179052/0030,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,08:42:45
CORTADEIRA SEMIGO,,4263048,2026-03-12,150003,10377,1181603/0010,11054560-0001,SACL PAP AUT FSC®P INST26 BROOKSFIELD,BROOKSFIELD,02,OFFSET,1,06:00:00,07:30:38
GOFRADEIRA OFFSET 2,,4263049,2026-03-12,172002,18525,1181745/0035,11054687-0001,50576986-A SACL PAP MAN FSC®MINI CHI NAT,ANTILHAS INDUSTRIA,02,OFFSET,1,06:00:00,13:46:54
NEW LONG FOLHA,,4263050,2026-03-12,165019,10400,1181468/0050,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 21,,4263051,2026-03-12,165021,15438,1180682/0050,13021508-0001,SACL PAP AUT NLF M INST26 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 24,,4263052,2026-03-12,165024,40014,1180623/0020,13019659-0002,SACL PAP AUT G PARDA V2 VD BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
REBOBINADEIRA 1,,4263053,2026-03-12,162001,5639,1181074/0020,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,06:00:00,07:03:42
MÁQUINA ALÇA FLET 1,,4263054,2026-03-12,163001,105013,1181766/0030,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,07:43:27
MK HEIDELBERG PROMATRIX 2,,4263056,2026-03-12,155012,2393,1181896/0020,11054565-0001,4852801 CTCHO FSC®PROF ULTIM FRX60G ACHE,ANTILHAS INDUSTRIA,02,OFFSET,1,06:00:00,06:37:27
NEW LONG 22,,4263059,2026-03-12,165022,29924,1180451/0020,13020040-0001,SACL PAP AUT FSC® M INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 23,,4263060,2026-03-12,165023,29557,1179299/0020,2100072230,SACL AUT FSC® P BAS NAT,NATURA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 4,,4263061,2026-03-12,165004,31834,1179836/0040,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 8,,4263063,2026-03-12,165008,32506,1173035/0020,13020921-0001,SACL PAP AUT FSC® P INST24 HAVAIANAS,HAVAIANAS,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 17 P,,4263065,2026-03-12,165017,6401,1179601/0020,2100078945,50548352 SACL AUT FSC®MEDI CPV25 NAT,NATURA MEXICO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
ROLAND 702,,4263067,2026-03-12,152005,6827,1181564/0010,2100081417,REF FDO SACL PAP MAN FSC®M INST26 BROOKS,BROOKSFIELD,02,OFFSET,1,06:00:00,08:31:40
NEW LONG 5,,4263092,2026-03-12,165005,23724,1177834/0020,13019832-0001,SACL PAP AUT FSC® P SP INST22 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 13 M - WEBER,,4263096,2026-03-12,165013,33074,1180650/0020,13020905-0001,SACL PAP AUT FSC® M INST24 HAVAIANAS,HAVAIANAS,01,FLEXOGRAFICA,1,06:00:00,14:00:00
GOFRADEIRA OFFSET,,4263106,2026-03-12,172001,6424,1181745/0030,11054687-0001,50576986-A SACL PAP MAN FSC®MINI CHI NAT,ANTILHAS INDUSTRIA,02,OFFSET,1,06:00:00,13:41:08
LINING MACHINE,,4263111,2026-03-12,173007,2230,1179664/0030,2100075298,MIOLO GG PREMIUM LINDT,LINDT,02,OFFSET,1,06:00:00,14:00:00
ROLAND 704,,4263140,2026-03-12,152006,2912,1181625/0020,2100074572,SACL PAP MAN FSC® M INST23 DENGO,DENGO,02,OFFSET,1,06:00:00,06:23:20
GUILHOTINA - ACAB NL 03,,4263149,2026-03-12,151007,177600,1181449/0020,2100077669,90821 REF FDO FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:00:00,13:51:36
FLEXO TECH,,4263170,2026-03-12,160008,53865,1181072/0010,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:01:09,14:00:00
GUILHOTINA 2,,4263185,2026-03-12,151002,112800,1181158/0030,2400007262,REF FDO FSC® SACL PAP AUT G PARDA PCT/50,BOTICARIO,02,OFFSET,1,06:16:59,14:00:00
